Signature;diameter;average distance;number_of_connections
"C(539; 1, 100)";16;10,9442;260869560
"C(540; 1, 128)";16;10,9536;224177214
"C(541; 1, 168)";16;10,963;267530312
"C(542; 1, 256)";16;10,9723;254920314
"C(543; 1, 31)";16;10,9815;255260294
"C(545; 1, 33)";16;11;263433104
"C(546; 1, 256)";17;11,011;207850291
"C(547; 1, 172)";17;11,022;242162348
"C(548; 1, 128)";17;11,0329;208062952
"C(549; 1, 104)";17;11,0438;213596269
"C(550; 1, 98)";17;11,0546;202959610
